x[km] y[km] z[km] ex ey ez dlos[cm] sigma[cm] type
14.853616 -10.604186 0.144 -0.622 -0.196 -0.758 -8.9 1.1 sar
11.983659 -11.998226 0.087414 -0.625 -0.197 -0.755 -7.8 1.1 sar
12.558185 -11.997179 0.07031 -0.624 -0.197 -0.756 -7.1 1.1 sar
11.984733 -12.553779 0.14829 -0.625 -0.197 -0.755 -6.4 1.1 sar
12.559362 -12.552782 0.157186 -0.625 -0.197 -0.756 -5.9 1.1 sar
13.297625 -12.273696 0.161264 -0.624 -0.197 -0.756 -7.2 1.1 sar
12.31442 -13.386209 0.074888 -0.625 -0.197 -0.755 -5.3 1.1 sar
13.05292 -13.107301 0.15103 -0.624 -0.197 -0.756 -5.5 1.1 sar
13.053893 -13.662664 0.115808 -0.624 -0.197 -0.756 -0.7 1.1 sar
13.546593 -13.661823 0.162785 -0.624 -0.197 -0.756 -2.3 1.1 sar
14.039173 -13.660822 0.151725 -0.624 -0.197 -0.756 -2.6 1.1 sar
14.613888 -13.659648 0.15644 -0.623 -0.196 -0.757 -1.8 1.1 sar
15.352225 -13.380375 0.175335 -0.623 -0.196 -0.757 -1.1 1.1 sar
9.6913 -16.167656 0.127734 -0.627 -0.197 -0.754 -3.7 1.1 sar
13.797966 -16.160931 0.209156 -0.625 -0.196 -0.756 -1.6 1.1 sar
3.534921 -22.838422 0.046341 -0.633 -0.199 -0.749 -0.5 1.1 sar
11.75563 -22.829318 0.021201 -0.627 -0.196 -0.754 -1.1 1.1 sar
16.082731 -9.768335 0.176457 -0.621 -0.196 -0.759 -8.9 1.1 sar
16.657073 -9.766956 0.159998 -0.622 -0.195 -0.759 -9.4 1.1 sar
16.083999 -10.323765 0.168525 -0.622 -0.196 -0.758 -9.5 1.1 sar
16.658512 -10.322462 0.200065 -0.622 -0.195 -0.759 -8.4 1.1 sar
16.414122 -11.156094 0.131206 -0.622 -0.196 -0.758 -9.3 1.1 sar
16.910798 -12.82137 0.202622 -0.622 -0.196 -0.758 -1.0 1.1 sar
17.904525 -16.151586 0.213013 -0.623 -0.196 -0.758 -1.1 1.1 sar
20.001895 -31.69732 0.008732 -0.625 -0.194 -0.756 -2.1 1.1 sar
-6.274281 38.330063 0.097193 0.5 0.09 -0.861 -0.4 0.9 sar
-6.28733 24.110019 0.188243 0.496 0.092 -0.863 0.1 0.9 sar
6.763798 38.334014 0.675886 0.513 0.093 -0.853 -0.1 0.9 sar
19.802789 38.359938 0.776144 0.525 0.096 -0.846 -0.6 0.9 sar
6.777346 24.11082 0.276707 0.509 0.095 -0.855 -0.1 0.9 sar
19.842956 24.137123 0.538757 0.522 0.098 -0.847 -0.0 0.9 sar
-6.30033 9.890049 0.228322 0.493 0.094 -0.865 -0.7 0.9 sar
-11.223822 1.008896 0.073799 0.487 0.094 -0.868 2.0 0.9 sar
-7.946833 1.004362 0.107555 0.49 0.094 -0.866 -1.1 0.9 sar
-11.229557 -2.545916 0.057151 0.486 0.095 -0.869 3.3 0.9 sar
-7.95088 -2.550463 0.079891 0.489 0.095 -0.867 -0.8 0.9 sar
-3.032068 -0.776963 0.158494 0.495 0.096 -0.864 -4.0 0.9 sar
-9.597591 -7.880561 0.05903 0.486 0.095 -0.869 2.1 0.9 sar
-5.493972 -5.218966 0.095555 0.491 0.095 -0.866 -2.5 0.9 sar
-3.854018 -5.220123 0.158681 0.493 0.096 -0.865 -3.9 0.9 sar
-5.905093 -6.551665 0.080885 0.49 0.095 -0.867 0.6 0.9 sar
-5.084961 -6.552341 0.106551 0.491 0.096 -0.866 -3.2 0.9 sar
-5.905837 -7.440346 0.066848 0.49 0.096 -0.867 1.0 0.9 sar
-5.085611 -7.441039 0.103512 0.491 0.096 -0.866 -3.0 0.9 sar
-3.854993 -6.997517 0.135848 0.492 0.096 -0.865 -4.3 0.9 sar
-1.394196 -6.10981 0.206732 0.495 0.097 -0.863 -5.3 0.9 sar
-5.906591 -8.329037 0.063687 0.49 0.096 -0.866 0.8 0.9 sar
-5.086249 -8.329716 0.086349 0.491 0.096 -0.866 -2.5 0.9 sar
-5.907341 -9.217719 0.055402 0.49 0.096 -0.866 0.9 0.9 sar
-5.086894 -9.2184 0.077063 0.491 0.096 -0.866 -1.9 0.9 sar
-3.855981 -8.774924 0.134518 0.492 0.096 -0.866 -4.8 0.9 sar
-5.498164 -10.551089 0.053586 0.49 0.096 -0.866 0.5 0.9 sar
-3.856947 -10.552266 0.096694 0.492 0.096 -0.866 -3.7 0.9 sar
-1.39489 -9.664519 0.109059 0.494 0.097 -0.864 -5.8 0.9 sar
6.79129 9.890551 0.251572 0.506 0.096 -0.857 -1.3 0.9 sar
19.882612 9.915675 0.138453 0.519 0.099 -0.849 0.2 0.9 sar
3.52377 -0.776734 0.186024 0.5 0.097 -0.86 -4.6 0.9 sar
10.07955 -0.770288 0.137948 0.508 0.099 -0.856 -2.7 0.9 sar
3.52739 -7.886462 0.188626 0.499 0.098 -0.861 -6.1 0.9 sar
10.089968 -7.880013 0.180496 0.506 0.099 -0.857 -3.3 0.9 sar
19.923435 -4.303822 0.114288 0.516 0.101 -0.851 -0.2 0.9 sar
-4.679334 -13.217738 0.044035 0.49 0.096 -0.867 -0.3 0.9 sar
-1.395594 -13.219199 0.056408 0.493 0.098 -0.864 -3.4 0.9 sar
-4.681726 -16.772457 0.035432 0.489 0.097 -0.867 -2.5 0.9 sar
-1.396311 -16.773971 0.065786 0.492 0.098 -0.865 -3.4 0.9 sar
6.819038 -18.548169 0.073832 0.5 0.1 -0.86 -2.1 0.9 sar
19.964488 -18.523151 0.164251 0.513 0.102 -0.852 -0.7 0.9 sar
32.945363 -18.473688 0.114345 0.525 0.105 -0.844 -0.8 0.9 sar
33.011811 -32.691723 -0.087056 0.522 0.107 -0.846 0.2 0.9 sar
43.48003 21.31512 0.222066 1.0 0.0 0.0 -0.1 0.2 gnss
43.48003 21.31512 0.222066 0.0 1.0 0.0 0.1 0.3 gnss
43.48003 21.31512 0.222066 0.0 0.0 1.0 0.0 0.9 gnss
32.51676 -16.113859 0.08124 1.0 0.0 0.0 1.3 0.2 gnss
32.51676 -16.113859 0.08124 0.0 1.0 0.0 -0.6 0.3 gnss
32.51676 -16.113859 0.08124 0.0 0.0 1.0 0.6 0.9 gnss
32.789275 31.242807 0.261618 1.0 0.0 0.0 -0.2 0.2 gnss
32.789275 31.242807 0.261618 0.0 1.0 0.0 0.1 0.3 gnss
32.789275 31.242807 0.261618 0.0 0.0 1.0 -0.3 0.9 gnss
-21.96771 31.501602 -0.000163 1.0 0.0 0.0 0.1 0.2 gnss
-21.96771 31.501602 -0.000163 0.0 1.0 0.0 0.1 0.3 gnss
-21.96771 31.501602 -0.000163 0.0 0.0 1.0 -0.4 0.9 gnss
30.038241 -38.048285 -0.090945 1.0 0.0 0.0 0.7 0.2 gnss
30.038241 -38.048285 -0.090945 0.0 1.0 0.0 -0.8 0.3 gnss
30.038241 -38.048285 -0.090945 0.0 0.0 1.0 0.4 0.9 gnss
-11.13987 3.279414 0.068315 1.0 0.0 0.0 1.7 2.0 gnss
-11.13987 3.279414 0.068315 0.0 1.0 0.0 -1.4 3.0 gnss
-11.13987 3.279414 0.068315 0.0 0.0 1.0 -1.1 9.0 gnss
24.227513 3.068499 0.103058 1.0 0.0 0.0 1.9 0.2 gnss
24.227513 3.068499 0.103058 0.0 1.0 0.0 0.3 0.3 gnss
24.227513 3.068499 0.103058 0.0 0.0 1.0 1.7 0.9 gnss
-32.612835 -4.86331 -0.005159 1.0 0.0 0.0 3.5 0.2 gnss
-32.612835 -4.86331 -0.005159 0.0 1.0 0.0 0.2 0.3 gnss
-32.612835 -4.86331 -0.005159 0.0 0.0 1.0 -1.4 0.9 gnss
-52.443559 -16.487029 -0.16345 1.0 0.0 0.0 1.6 0.2 gnss
-52.443559 -16.487029 -0.16345 0.0 1.0 0.0 0.4 0.3 gnss
-52.443559 -16.487029 -0.16345 0.0 0.0 1.0 -0.3 0.9 gnss
4.951552 -24.294892 0.018809 1.0 0.0 0.0 1.8 2.0 gnss
4.951552 -24.294892 0.018809 0.0 1.0 0.0 -5.1 3.0 gnss
4.951552 -24.294892 0.018809 0.0 0.0 1.0 -3.4 9.0 gnss
46.830737 -50.082166 -0.282968 1.0 0.0 0.0 0.2 0.2 gnss
46.830737 -50.082166 -0.282968 0.0 1.0 0.0 -0.2 0.3 gnss
46.830737 -50.082166 -0.282968 0.0 0.0 1.0 -0.0 0.9 gnss
-37.452759 42.048887 -0.162488 1.0 0.0 0.0 0.1 0.2 gnss
-37.452759 42.048887 -0.162488 0.0 1.0 0.0 -0.1 0.3 gnss
-37.452759 42.048887 -0.162488 0.0 0.0 1.0 -0.2 0.9 gnss
-34.522307 20.574702 -0.028763 1.0 0.0 0.0 0.8 0.2 gnss
-34.522307 20.574702 -0.028763 0.0 1.0 0.0 -0.2 0.3 gnss
-34.522307 20.574702 -0.028763 0.0 0.0 1.0 -0.4 0.9 gnss
-48.525775 8.301233 0.171098 1.0 0.0 0.0 1.3 0.2 gnss
-48.525775 8.301233 0.171098 0.0 1.0 0.0 0.2 0.3 gnss
-48.525775 8.301233 0.171098 0.0 0.0 1.0 -0.4 0.9 gnss
6.906052 25.973774 0.206369 1.0 0.0 0.0 -0.7 0.2 gnss
6.906052 25.973774 0.206369 0.0 1.0 0.0 0.6 0.3 gnss
6.906052 25.973774 0.206369 0.0 0.0 1.0 0.3 0.9 gnss
