x[km] y[km] z[km] ex ey ez dlos[cm] sigma[cm] type
-8.910484 16.113926 0.127963 -0.58 0.105 -0.808 0.8 2.1 sar
-4.82315 16.110001 0.187291 -0.577 0.104 -0.81 -0.2 2.1 sar
-8.916311 11.670365 0.195388 -0.58 0.105 -0.808 1.3 2.1 sar
-4.826268 11.666313 0.207679 -0.576 0.105 -0.811 0.6 2.1 sar
-0.735764 16.108997 0.442025 -0.574 0.103 -0.812 -0.6 2.1 sar
3.351799 16.1097 0.413144 -0.57 0.103 -0.815 -0.6 2.1 sar
-0.736212 11.664689 0.221378 -0.573 0.104 -0.813 -0.7 2.1 sar
3.35386 11.665484 0.231476 -0.569 0.103 -0.816 -1.4 2.1 sar
7.429689 25.000485 0.329618 -0.568 0.101 -0.817 -0.3 2.1 sar
11.512089 25.00644 0.412606 -0.565 0.1 -0.819 -0.4 2.1 sar
7.434501 20.556632 0.3512 -0.568 0.102 -0.817 -1.2 2.1 sar
11.519563 20.56256 0.444145 -0.565 0.1 -0.819 -0.3 2.1 sar
15.593929 25.013738 0.220016 -0.562 0.1 -0.821 -0.6 2.1 sar
19.677394 25.025842 0.632899 -0.558 0.099 -0.824 -0.0 2.1 sar
15.604142 20.570112 0.288551 -0.56 0.1 -0.822 1.0 2.1 sar
19.688954 20.580533 0.27043 -0.557 0.099 -0.825 0.9 2.1 sar
7.439164 16.112478 0.245655 -0.567 0.102 -0.817 -0.9 2.1 sar
11.526776 16.118323 0.331579 -0.563 0.101 -0.82 0.3 2.1 sar
7.444083 11.668919 0.358978 -0.566 0.103 -0.818 -1.4 2.1 sar
11.533998 11.674298 0.223891 -0.563 0.102 -0.82 -0.3 2.1 sar
15.614102 16.126177 0.252981 -0.56 0.101 -0.822 1.2 2.1 sar
15.624603 11.682746 0.439276 -0.559 0.101 -0.823 0.2 2.1 sar
19.714135 11.692812 0.215119 -0.556 0.1 -0.825 0.2 2.1 sar
-8.922031 7.226665 0.185693 -0.579 0.106 -0.809 0.1 2.1 sar
-4.829355 7.222592 0.185954 -0.576 0.106 -0.811 0.1 2.1 sar
-8.927602 2.782971 0.069889 -0.578 0.106 -0.809 0.3 2.1 sar
-4.832442 2.778939 0.165138 -0.574 0.106 -0.812 -1.0 2.1 sar
-0.736672 7.220853 0.106626 -0.572 0.104 -0.814 -1.5 2.1 sar
3.356022 7.221782 0.241711 -0.569 0.104 -0.816 -2.8 2.1 sar
-0.737156 2.777303 0.194792 -0.571 0.105 -0.814 -1.9 2.1 sar
3.358185 2.778105 0.255846 -0.567 0.104 -0.817 -4.6 2.1 sar
-8.933351 -1.660562 0.081994 -0.577 0.107 -0.809 0.1 2.1 sar
-5.900071 -0.552936 0.17864 -0.575 0.107 -0.811 0.4 2.1 sar
-3.851421 -0.554377 0.156122 -0.573 0.105 -0.812 -1.5 2.1 sar
-5.901897 -2.774699 0.105909 -0.574 0.106 -0.812 -0.1 2.1 sar
-3.852662 -2.776167 0.164387 -0.573 0.106 -0.813 -2.2 2.1 sar
-8.93906 -6.104054 0.065002 -0.577 0.108 -0.81 -0.9 2.1 sar
-5.903798 -4.996468 0.114402 -0.574 0.106 -0.812 -0.2 2.1 sar
-3.853895 -4.997946 0.159875 -0.572 0.106 -0.813 -2.0 2.1 sar
-5.413096 -6.663164 0.090174 -0.573 0.106 -0.812 -0.4 2.1 sar
-6.398298 -7.773171 0.06698 -0.574 0.107 -0.812 -2.0 2.1 sar
-5.413965 -7.774039 0.091838 -0.573 0.106 -0.812 -2.7 2.1 sar
-3.855115 -7.21969 0.132584 -0.572 0.106 -0.813 -2.2 2.1 sar
-1.802797 -0.555215 0.171954 -0.572 0.105 -0.814 -2.6 2.1 sar
0.245838 -0.555449 0.219133 -0.57 0.105 -0.815 -3.8 2.1 sar
-1.803384 -2.77702 0.202213 -0.571 0.106 -0.814 -3.7 2.1 sar
0.245916 -2.777253 0.208385 -0.569 0.105 -0.815 -5.2 2.1 sar
3.360283 -1.665524 0.144874 -0.567 0.105 -0.817 -5.8 2.1 sar
-1.803968 -4.998829 0.219697 -0.571 0.106 -0.814 -4.2 2.1 sar
0.245998 -4.999112 0.285864 -0.569 0.106 -0.816 -5.8 2.1 sar
-1.80454 -7.2206 0.1984 -0.571 0.106 -0.814 -4.4 2.1 sar
0.246074 -7.220834 0.201564 -0.569 0.106 -0.816 -6.1 2.1 sar
3.362481 -6.109151 0.223812 -0.566 0.105 -0.817 -8.0 2.1 sar
6.383673 8.334937 0.313094 -0.566 0.103 -0.818 -2.5 2.1 sar
8.429637 8.337046 0.2477 -0.564 0.102 -0.819 -2.0 2.1 sar
6.385651 6.112991 0.239428 -0.566 0.104 -0.818 -3.9 2.1 sar
8.432378 6.115217 0.272028 -0.564 0.103 -0.819 -4.1 2.1 sar
10.4756 8.339794 0.206661 -0.563 0.102 -0.82 -1.8 2.1 sar
12.52144 8.343082 0.115987 -0.561 0.102 -0.822 -0.6 2.1 sar
10.478966 6.117955 0.206989 -0.563 0.102 -0.82 -3.0 2.1 sar
12.525539 6.121312 0.154315 -0.561 0.102 -0.822 -1.9 2.1 sar
7.453504 2.781295 0.229303 -0.564 0.103 -0.819 -5.6 2.1 sar
11.548791 2.786908 0.202204 -0.561 0.103 -0.821 -3.0 2.1 sar
15.633882 7.238528 0.125455 -0.558 0.102 -0.824 -1.0 2.1 sar
15.644123 2.79496 0.205557 -0.557 0.102 -0.824 -2.5 2.1 sar
7.458149 -1.662314 0.108321 -0.563 0.104 -0.82 -6.1 2.1 sar
11.556223 -1.656716 0.211212 -0.56 0.103 -0.822 -6.1 2.1 sar
7.46298 -6.105878 0.147233 -0.563 0.104 -0.82 -7.7 2.1 sar
11.563606 -6.100298 0.193105 -0.559 0.104 -0.822 -6.7 2.1 sar
15.654042 -1.648652 0.153533 -0.556 0.102 -0.825 -4.7 2.1 sar
15.664165 -6.092242 0.185411 -0.556 0.103 -0.825 -5.5 2.1 sar
-17.150937 -10.532044 0.02581 -0.583 0.109 -0.805 -0.5 2.1 sar
-13.04786 -10.540984 0.038167 -0.579 0.108 -0.808 0.2 2.1 sar
-8.944766 -10.547493 0.045917 -0.576 0.108 -0.811 -0.5 2.1 sar
-4.841668 -10.551581 0.055079 -0.572 0.107 -0.813 -2.4 2.1 sar
-7.716613 -13.0484 0.043649 -0.574 0.107 -0.812 -1.9 2.1 sar
-7.306003 -12.904434 0.044406 -0.574 0.107 -0.812 -2.4 2.1 sar
-7.059734 -12.904691 0.045665 -0.574 0.107 -0.812 -2.5 2.1 sar
-7.306307 -13.193256 0.043796 -0.574 0.107 -0.812 -4.7 2.1 sar
-7.060027 -13.193511 0.044055 -0.574 0.107 -0.812 -3.8 2.1 sar
-7.142541 -13.60444 0.042079 -0.574 0.107 -0.812 -4.0 2.1 sar
-4.84476 -14.994988 0.03987 -0.572 0.107 -0.814 -2.2 2.1 sar
-1.805107 -9.442321 0.157325 -0.57 0.106 -0.815 -4.0 2.1 sar
0.246151 -9.442568 0.168484 -0.568 0.106 -0.816 -6.3 2.1 sar
-1.805662 -11.663928 0.072478 -0.57 0.107 -0.815 -4.1 2.1 sar
0.246228 -11.664235 0.114631 -0.568 0.107 -0.816 -6.2 2.1 sar
3.364603 -10.552625 0.158646 -0.566 0.105 -0.818 -8.2 2.1 sar
-0.739034 -14.996691 0.06342 -0.568 0.107 -0.816 -4.0 2.1 sar
3.366736 -14.996033 0.113381 -0.565 0.106 -0.819 -6.3 2.1 sar
-0.739506 -19.440086 0.051081 -0.567 0.108 -0.817 -3.0 2.1 sar
3.36885 -19.439255 0.033003 -0.563 0.106 -0.819 -3.9 2.1 sar
3.371 -23.882607 0.020522 -0.563 0.107 -0.819 -1.4 2.1 sar
7.46768 -10.549283 0.073045 -0.562 0.105 -0.82 -8.7 2.1 sar
11.570803 -10.543658 0.071885 -0.559 0.104 -0.823 -7.4 2.1 sar
7.472453 -14.992713 0.061748 -0.561 0.105 -0.821 -7.1 2.1 sar
11.57835 -14.987285 0.144558 -0.558 0.105 -0.824 -6.8 2.1 sar
15.674009 -10.535663 0.103171 -0.555 0.103 -0.825 -6.1 2.1 sar
6.408042 -18.32637 0.067932 -0.561 0.106 -0.821 -5.5 2.1 sar
8.461955 -18.324291 0.10748 -0.559 0.106 -0.822 -5.9 2.1 sar
6.410121 -20.548175 0.09596 -0.561 0.106 -0.821 -3.7 2.1 sar
8.464664 -20.546019 0.107497 -0.559 0.106 -0.822 -4.7 2.1 sar
11.585609 -19.430511 0.05812 -0.557 0.105 -0.824 -4.9 2.1 sar
7.482011 -23.879518 0.049832 -0.559 0.107 -0.822 -1.7 2.1 sar
11.592944 -23.873761 0.013572 -0.556 0.105 -0.825 -1.8 2.1 sar
-45.378038 39.520205 -0.210344 -0.647 -0.212 -0.732 1.7 1.1 sar
-37.231403 39.471358 -0.150708 -0.643 -0.21 -0.737 0.6 1.1 sar
-47.4613 32.868821 -0.131446 -0.65 -0.212 -0.73 1.1 1.1 sar
-43.383915 32.841881 -0.113582 -0.647 -0.212 -0.732 1.6 1.1 sar
-47.4932 28.425877 0.041775 -0.651 -0.212 -0.729 0.4 1.1 sar
-43.412558 28.398588 -0.016376 -0.648 -0.211 -0.731 0.1 1.1 sar
-37.279808 30.584108 -0.094138 -0.645 -0.21 -0.735 0.3 1.1 sar
-29.08457 39.43206 -0.116446 -0.638 -0.208 -0.742 0.9 1.1 sar
-20.937782 39.402617 -0.058534 -0.633 -0.207 -0.746 0.8 1.1 sar
-29.122333 30.544718 -0.070933 -0.64 -0.208 -0.74 1.1 1.1 sar
-20.96518 30.515511 0.051955 -0.635 -0.207 -0.744 0.3 1.1 sar
-12.790846 39.382761 -0.019982 -0.628 -0.204 -0.751 -0.0 1.1 sar
-4.643938 39.373483 0.159304 -0.623 -0.203 -0.755 -1.5 1.1 sar
-12.807459 30.495308 0.028439 -0.63 -0.204 -0.749 0.3 1.1 sar
-4.650057 30.486361 0.328659 -0.626 -0.202 -0.753 -1.0 1.1 sar
-45.49783 21.7468 0.155507 -0.651 -0.211 -0.729 -0.2 1.1 sar
-37.328373 21.697037 -0.010055 -0.647 -0.209 -0.734 -0.7 1.1 sar
-45.555881 12.859138 0.079178 -0.653 -0.211 -0.727 -0.4 1.1 sar
-37.376655 12.809842 0.025582 -0.649 -0.209 -0.732 -0.7 1.1 sar
-29.160065 21.657469 -0.031899 -0.642 -0.208 -0.738 -0.7 1.1 sar
-20.992064 21.627808 0.005946 -0.637 -0.206 -0.743 -1.6 1.1 sar
-29.197768 12.770308 0.000727 -0.644 -0.207 -0.737 -1.7 1.1 sar
-21.019221 12.74061 0.043513 -0.639 -0.205 -0.741 -1.6 1.1 sar
-45.615024 3.971957 0.156318 -0.655 -0.21 -0.726 -0.1 1.1 sar
-37.424881 3.922716 0.05176 -0.65 -0.209 -0.73 -1.5 1.1 sar
-45.672992 -4.915172 0.068927 -0.657 -0.21 -0.724 -0.4 1.1 sar
-37.472482 -4.964261 -0.028512 -0.652 -0.208 -0.729 -0.7 1.1 sar
-29.235454 3.883227 0.029891 -0.646 -0.207 -0.735 -1.9 1.1 sar
-21.046219 3.853452 0.032614 -0.641 -0.205 -0.74 -0.4 1.1 sar
-29.272863 -5.003749 -0.001343 -0.648 -0.207 -0.733 0.3 1.1 sar
-21.073225 -5.033539 0.024334 -0.643 -0.204 -0.738 1.5 1.1 sar
-12.824076 21.607971 0.079398 -0.632 -0.204 -0.748 -0.7 1.1 sar
-4.655987 21.598125 0.237506 -0.628 -0.202 -0.752 -0.7 1.1 sar
-12.840576 12.720585 0.07188 -0.634 -0.203 -0.746 -0.5 1.1 sar
-4.66191 12.710334 0.13687 -0.63 -0.202 -0.75 -1.3 1.1 sar
3.512463 21.597767 0.332191 -0.622 -0.2 -0.757 -1.3 1.1 sar
1.471749 14.931168 0.310654 -0.625 -0.2 -0.754 -2.3 1.1 sar
5.560045 14.933537 0.431357 -0.622 -0.199 -0.757 -4.5 1.1 sar
1.472664 10.487141 0.173169 -0.626 -0.2 -0.754 -3.5 1.1 sar
5.563455 10.489337 0.239861 -0.624 -0.199 -0.756 -5.3 1.1 sar
-14.899689 6.05932 0.102967 -0.637 -0.203 -0.744 -0.2 1.1 sar
-10.806325 6.051685 0.081012 -0.634 -0.203 -0.746 -0.2 1.1 sar
-14.909157 1.615731 0.058372 -0.638 -0.204 -0.743 1.9 1.1 sar
-10.813245 1.60812 0.067398 -0.635 -0.202 -0.745 1.9 1.1 sar
-8.184753 7.71454 0.172112 -0.632 -0.202 -0.748 -1.9 1.1 sar
-8.186078 6.603635 0.180285 -0.633 -0.202 -0.747 -1.3 1.1 sar
-7.203702 6.602499 0.139431 -0.633 -0.202 -0.748 -0.3 1.1 sar
-5.647873 7.156467 0.105379 -0.631 -0.201 -0.749 -0.7 1.1 sar
